[4] eval gmm::jacobian 2_2_1000 , 0.004163035 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.007957615 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.009451748 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.009154632 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.013465158 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.029136029 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.030064561 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.017057601 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.012596237 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.024115502 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.017355398 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.017249636 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.027314778 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.019498747 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.025095512 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.051373092 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.075353147 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.032660383 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.027259343 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.028455169 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.050675309 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.074382102 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.039214762 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.043294671 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.060045455 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.099140443 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.030406718 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.157440476 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.040150000 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.043257778 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.048674630 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.063531311 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.080150658 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.174486111 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.278719048 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.144035065 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.057355556 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.066059809 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.080386237 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.100166667 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.219272222 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.073266204 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.112457912 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.152740741 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.223177778 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.061845588 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.074770580 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.104435185 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 0.270600000 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.085822999 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.097400000 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.121120370 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.150287698 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 0.224944444 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 0.194352381 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 0.485500000 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 0.353572222 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.116026936 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.153702381 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.097219697 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.137645503 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 0.249883333 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 0.303083333 s evaluate ✓
